"year","fips_state","state_code","state_name","population"
1970,"01","AL","Alabama",3444354
1971,"01","AL","Alabama",3497076
1972,"01","AL","Alabama",3539400
1973,"01","AL","Alabama",3579780
1974,"01","AL","Alabama",3626499
1975,"01","AL","Alabama",3678814
1976,"01","AL","Alabama",3735139
1977,"01","AL","Alabama",3780403
1978,"01","AL","Alabama",3831836
1979,"01","AL","Alabama",3866248
1980,"01","AL","Alabama",3893888
1981,"01","AL","Alabama",3918531
1982,"01","AL","Alabama",3925266
1983,"01","AL","Alabama",3934102
1984,"01","AL","Alabama",3951820
1985,"01","AL","Alabama",3972523
1986,"01","AL","Alabama",3991569
1987,"01","AL","Alabama",4015264
1988,"01","AL","Alabama",4023844
1989,"01","AL","Alabama",4030222
1990,"01","AL","Alabama",4050055
1991,"01","AL","Alabama",4099156
1992,"01","AL","Alabama",4154014
1993,"01","AL","Alabama",4214202
1994,"01","AL","Alabama",4260229
1995,"01","AL","Alabama",4296800
1996,"01","AL","Alabama",4331102
1997,"01","AL","Alabama",4367935
1998,"01","AL","Alabama",4404701
1999,"01","AL","Alabama",4430141
2000,"01","AL","Alabama",4452173
2001,"01","AL","Alabama",4467634
2002,"01","AL","Alabama",4480089
2003,"01","AL","Alabama",4503491
2004,"01","AL","Alabama",4530729
2005,"01","AL","Alabama",4569805
2006,"01","AL","Alabama",4628981
2007,"01","AL","Alabama",4672840
2008,"01","AL","Alabama",4718206
2009,"01","AL","Alabama",4757938
2010,"01","AL","Alabama",4785437
2011,"01","AL","Alabama",4799069
2012,"01","AL","Alabama",4815588
2013,"01","AL","Alabama",4830081
2014,"01","AL","Alabama",4841799
2015,"01","AL","Alabama",4852347
2016,"01","AL","Alabama",4863525
2017,"01","AL","Alabama",4874486
2018,"01","AL","Alabama",4887681
2019,"01","AL","Alabama",4903185
2020,"01","AL","Alabama",5031362
2021,"01","AL","Alabama",5049846
2022,"01","AL","Alabama",5074296
1970,"02","AK","Alaska",302583
1971,"02","AK","Alaska",315510
1972,"02","AK","Alaska",324464
1973,"02","AK","Alaska",330543
1974,"02","AK","Alaska",341063
1975,"02","AK","Alaska",376170
1976,"02","AK","Alaska",400969
1977,"02","AK","Alaska",403436
1978,"02","AK","Alaska",404766
1979,"02","AK","Alaska",402753
1980,"02","AK","Alaska",401851
1981,"02","AK","Alaska",418491
1982,"02","AK","Alaska",449606
1983,"02","AK","Alaska",488417
1984,"02","AK","Alaska",513702
1985,"02","AK","Alaska",532495
1986,"02","AK","Alaska",544268
1987,"02","AK","Alaska",539309
1988,"02","AK","Alaska",541983
1989,"02","AK","Alaska",547159
1990,"02","AK","Alaska",553290
1991,"02","AK","Alaska",570193
