"year","fips_state","state_code","state_name","poverty_rate","poverty_rate_moe","poverty_count","poverty_count_moe","poverty_universe","median_hh_income","median_hh_income_moe"
"1989","01","AL","Alabama",17.7,0.65,709148,25350,,22202,1076
"1993","01","AL","Alabama",18.8,1,790351,41395,,25907,1168
"1995","01","AL","Alabama",17.6,0.65,752097,28562,,27357,1404
"1996","01","AL","Alabama",16.7,1,717822,42960,,29618,1785
"1997","01","AL","Alabama",16.2,1,700944,43620,,30790,1659
"1998","01","AL","Alabama",15.7,1,681788,42670,4348444,33204,1991
"1999","01","AL","Alabama",15.3,0.95,667468,42217,4368014,33840,1469
"2000","01","AL","Alabama",14.6,0.7,637119,30864,4371402,34923,1683
"2001","01","AL","Alabama",15.7,0.65,685071,29769,4373427,34761,1384
"2002","01","AL","Alabama",15.4,0.7,679856,33029,4414359,35943,1757
"2003","01","AL","Alabama",15.3,0.75,677455,32808,4436894,36131,1472
"2004","01","AL","Alabama",16.1,0.95,717483,41491,4463171,37062,1448
"2005","01","AL","Alabama",16.9,0.35,749592,14919,4429785,36936,505
"2006","01","AL","Alabama",16.6,0.3,743556,13259,4482161,38811,491
"2007","01","AL","Alabama",16.6,0.35,750197,15498,4506569,40596,418
"2008","01","AL","Alabama",15.9,0.3,721875,14892,4541753,42586,662
"2009","01","AL","Alabama",17.5,0.35,805223,16110,4588886,40547,510
"2010","01","AL","Alabama",18.9,0.3,883078,15972,4667040,40538,457
"2011","01","AL","Alabama",19.1,0.4,896117,16943,4687327,41427,533
"2012","01","AL","Alabama",19,0.3,896515,16310,4706967,41610,467
"2013","01","AL","Alabama",18.9,0.3,889091,15950,4716072,42882,622
"2014","01","AL","Alabama",19.2,0.4,905682,17365,4727546,42917,582
"2015","01","AL","Alabama",18.5,0.3,875853,16072,4736374,44833,723
"2016","01","AL","Alabama",17.2,0.4,814197,17270,4741355,46309,659
"2017","01","AL","Alabama",16.9,0.4,802263,17746,4752519,48193,742
"2018","01","AL","Alabama",16.8,0.3,801758,16090,4763811,49881,758
"1989","02","AK","Alaska",10.6,0.65,57539,3480,,33885,2046
"1993","02","AK","Alaska",11.2,1.05,67099,6348,,39431,1624
"1995","02","AK","Alaska",10.1,0.65,60735,3866,,42255,1987
"1996","02","AK","Alaska",10.6,1.1,64480,6773,,44797,2883
"1997","02","AK","Alaska",11.2,1.15,68409,6980,,43657,2400
"1998","02","AK","Alaska",10.8,1.15,65970,6959,611654,47177,2148
"1999","02","AK","Alaska",8.8,0.95,53963,6046,616255,49133,1605
"2000","02","AK","Alaska",8.5,0.7,52442,4029,616957,51433,2092
"2001","02","AK","Alaska",8.7,0.65,54357,4129,628085,52332,1826
"2002","02","AK","Alaska",9.3,0.65,58932,4370,636327,51844,1984
"2003","02","AK","Alaska",9.8,0.65,63126,4206,642387,52391,1627
"2004","02","AK","Alaska",10,0.85,64660,5723,649816,52141,1687
"2005","02","AK","Alaska",10.8,0.5,69093,3143,637576,55477,1267
"2006","02","AK","Alaska",10.9,0.5,71120,3060,651952,58572,1127
"2007","02","AK","Alaska",9.8,0.5,65266,3101,666598,62854,1285
"2008","02","AK","Alaska",9.2,0.5,61871,3365,669799,67332,1613
"2009","02","AK","Alaska",9.1,0.5,61949,3461,682420,66712,1536
"2010","02","AK","Alaska",11,0.6,76850,3934,696834,63456,1395
"2011","02","AK","Alaska",10.8,0.5,76021,3422,706859,65699,1552
"2012","02","AK","Alaska",10.8,0.5,77494,3451,715616,66503,1490
"2013","02","AK","Alaska",10.1,0.5,72643,3587,718370,70058,1633
"2014","02","AK","Alaska",11.4,0.6,81622,4011,717708,70898,1475
"2015","02","AK","Alaska",10.4,0.5,74941,3542,720764,73391,1869
"2016","02","AK","Alaska",9.9,0.6,71916,4103,723955,76144,1769
"2017","02","AK","Alaska",11,0.6,79428,4155,720474,74058,1959
"2018","02","AK","Alaska",11.1,0.6,80224,3971,720866,74912,1837
"1989","04","AZ","Arizona",14.7,0.6,535462,22186,,28924,1143
"1993","04","AZ","Arizona",18.5,0.95,757556,39113,,28427,1329
"1995","04","AZ","Arizona",16.3,0.6,722660,27047,,31736,1437
"1996","04","AZ","Arizona",16.3,1,741878,46065,,32708,1735
"1997","04","AZ","Arizona",15.5,1,720713,46056,,34751,1685
"1998","04","AZ","Arizona",14.9,0.95,710652,45780,4764511,37281,1652
"1999","04","AZ","Arizona",12.8,0.95,643045,47352,5027482,38642,1297
"2000","04","AZ","Arizona",12.5,0.75,646762,39608,5194502,40437,1782
"2001","04","AZ","Arizona",13.2,0.8,703143,42134,5342423,41403,1461
"2002","04","AZ","Arizona",13.6,0.8,746145,45662,5485046,40724,1710
"2003","04","AZ","Arizona",13.9,0.8,783005,46497,5643394,41963,1406
"2004","04","AZ","Arizona",14.6,1,853587,57662,5842118,43696,1414
"2005","04","AZ","Arizona",14.4,0.3,836742,18329,5802687,44402,603
"2006","04","AZ","Arizona",14.2,0.3,860355,17502,6052140,47315,425
"2007","04","AZ","Arizona",14.1,0.35,876120,20249,6225517,49923,491
"2008","04","AZ","Arizona",14.7,0.35,935247,20084,6379305,51009,503
"2009","04","AZ","Arizona",16.5,0.35,1065728,20577,6475512,48711,469
"2010","04","AZ","Arizona",17.6,0.4,1105075,22791,6272700,46787,509
"2011","04","AZ","Arizona",19,0.4,1201376,24847,6336450,46710,537
"2012","04","AZ","Arizona",18.7,0.3,1195931,18531,6401276,47796,583
"2013","04","AZ","Arizona",18.6,0.4,1206948,22841,6477186,48504,572
"2014","04","AZ","Arizona",18.2,0.3,1195889,20222,6573428,50036,475
"2015","04","AZ","Arizona",17.4,0.3,1159046,22380,6671708,51473,427
"2016","04","AZ","Arizona",16.4,0.3,1107153,20671,6771106,53481,618
"2017","04","AZ","Arizona",14.9,0.3,1023337,20564,6856072,56508,509
"2018","04","AZ","Arizona",14.1,0.3,990291,19677,7013461,59079,713
"1989","05","AR","Arkansas",17.9,0.7,417155,16297,,20729,1125
"1993","05","AR","Arkansas",18.9,1,461948,24558,,24019,1189
"1995","05","AR","Arkansas",18.2,0.85,455776,20325,,26515,1406
"1996","05","AR","Arkansas",17.6,1,442445,25428,,27367,1684
"1997","05","AR","Arkansas",17.5,1.1,442856,27291,,27875,1641
"1998","05","AR","Arkansas",16.4,1.1,417961,27721,2544944,29212,1708
"1999","05","AR","Arkansas",15.1,1,395852,26135,2617823,31217,1369
"2000","05","AR","Arkansas",15,0.8,394960,20174,2634478,31496,1799
"2001","05","AR","Arkansas",15.9,0.8,419048,20528,2638565,32864,1468
"2002","05","AR","Arkansas",16.3,0.85,435986,22877,2672831,32819,1684
"2003","05","AR","Arkansas",16,0.8,432240,21534,2693460,33445,1451
"2004","05","AR","Arkansas",15.6,1,424576,27300,2720895,35295,1465
"2005","05","AR","Arkansas",17.2,0.35,461758,9954,2690032,35041,565
"2006","05","AR","Arkansas",17.3,0.35,471161,9781,2729099,36627,473
"2007","05","AR","Arkansas",17.6,0.35,483510,10069,2753934,38239,691
"2008","05","AR","Arkansas",17.3,0.4,479140,11569,2774138,38820,682
"2009","05","AR","Arkansas",18.5,0.4,519026,12214,2806037,37888,599
"2010","05","AR","Arkansas",18.7,0.4,529710,11259,2839786,38413,607
"2011","05","AR","Arkansas",19.3,0.4,550079,11888,2856679,38889,722
"2012","05","AR","Arkansas",19.6,0.4,560928,11894,2865097,40151,485
"2013","05","AR","Arkansas",19.4,0.4,557399,12126,2873346,40605,684
"2014","05","AR","Arkansas",18.7,0.4,539999,11395,2882846,41335,633
"2015","05","AR","Arkansas",18.7,0.4,540733,11977,2887336,42046,472
"2016","05","AR","Arkansas",17.2,0.4,497388,12208,2898653,44406,876
"2017","05","AR","Arkansas",16.3,0.4,475883,11917,2916343,45916,735
"2018","05","AR","Arkansas",16.8,0.5,492306,14053,2925473,47094,693
"1989","06","CA","California",12.7,0.85,3749256,252215,,33474,878
"1993","06","CA","California",17.4,0.95,5428276,290821,,34128,1013
"1995","06","CA","California",16.5,0.95,5215575,297317,,36767,1057
"1996","06","CA","California",16.7,0.75,5343610,241210,,38691,1144
"1997","06","CA","California",16,0.75,5195477,242689,,39595,1110
"1998","06","CA","California",14.9,0.7,4917053,231859,32955150,41003,1160
"1999","06","CA","California",13.7,0.6,4562089,213068,33284948,43924,1111
"2000","06","CA","California",12.7,0.5,4304909,170968,33846211,46836,1295
"2001","06","CA","California",12.9,0.5,4418040,181109,34262724,47064,1169
"2002","06","CA","California",13.3,0.55,4646661,187604,34866022,47323,1256
"2003","06","CA","California",13.7,0.55,4836106,196177,35219959,48440,1294
"2004","06","CA","California",13.2,0.6,4681645,218000,35468826,49894,1278
"2005","06","CA","California",13.3,0.2,4669056,60947,35121556,53627,318
"2006","06","CA","California",13.1,0.15,4686706,51177,35675333,56646,234
"2007","06","CA","California",12.4,0.15,4445392,46013,35768034,59928,292
"2008","06","CA","California",13.3,0.15,4781201,55492,35984453,61017,235
"2009","06","CA","California",14.2,0.15,5132640,47953,36202910,58925,271
"2010","06","CA","California",15.8,0.1,5785036,52655,36593422,57664,348
"2011","06","CA","California",16.6,0.2,6121726,56035,36941941,57275,278
